"snapshot_id","schema_id","commit_user","commit_identifier","commit_kind","commit_time","base_manifest_list","delta_manifest_list","changelog_manifest_list","total_record_count","delta_record_count","changelog_record_count","watermark"
"8509","1","admin","6856","APPEND","2024-11-04 13:52:59.437","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10908","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10909","NULL","223153204","20297","0","6856"
"8510","1","admin","6857","APPEND","2024-11-04 13:54:00.085","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10910","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10911","NULL","223168622","15418","0","6857"
"8511","1","admin","6857","COMPACT","2024-11-04 13:54:02.003","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10912","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10913","NULL","223168622","0","0","6857"
"8512","1","admin","6858","APPEND","2024-11-04 13:55:01.294","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10914","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10915","NULL","223192818","24196","0","6858"
"8513","1","admin","6859","APPEND","2024-11-04 13:56:02.01","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10916","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10917","NULL","223212523","19705","0","6859"
"8514","1","admin","6860","APPEND","2024-11-04 13:57:03.3","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10918","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10919","NULL","223229509","16986","0","6860"
"8515","1","admin","6861","APPEND","2024-11-04 13:58:03.871","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10920","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10921","NULL","223255378","25869","0","6861"
"8516","1","admin","6861","COMPACT","2024-11-04 13:58:06.301","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10922","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10923","NULL","223255378","0","0","6861"
"8517","1","admin","6862","APPEND","2024-11-04 13:59:04.796","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10924","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10925","NULL","223274808","19430","0","6862"
"8518","1","admin","6863","APPEND","2024-11-04 14:00:06.291","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10926","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10927","NULL","223289415","14607","0","6863"
"8519","1","admin","6864","APPEND","2024-11-04 14:01:07.287","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10928","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10929","NULL","223314261","24846","0","6864"
"8520","1","admin","6865","APPEND","2024-11-04 14:02:08.012","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10930","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10931","NULL","223334353","20092","0","6865"
"8521","1","admin","6866","APPEND","2024-11-04 14:03:09.088","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10932","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10933","NULL","223352265","17912","0","6866"
"8522","1","admin","6867","APPEND","2024-11-04 14:04:10.59","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10934","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10935","NULL","223375705","23440","0","6867"
"8523","1","admin","6868","APPEND","2024-11-04 14:05:11.392","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10936","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10937","NULL","223395014","19309","0","6868"
"8524","1","admin","6868","COMPACT","2024-11-04 14:05:13.744","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10938","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10939","NULL","223395014","0","0","6868"
"8525","1","admin","6869","APPEND","2024-11-04 14:06:12.152","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10940","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10941","NULL","223412391","17377","0","6869"
"8526","1","admin","6870","APPEND","2024-11-04 14:07:13.2","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10942","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10943","NULL","223437978","25587","0","6870"
"8527","1","admin","6871","APPEND","2024-11-04 14:08:14.106","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10944","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10945","NULL","223455450","17472","0","6871"
"8528","1","admin","6872","APPEND","2024-11-04 14:09:16.649","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10946","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10947","NULL","223472591","17141","0","6872"
"8529","1","admin","6872","COMPACT","2024-11-04 14:09:18.068","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10948","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10949","NULL","223472591","0","0","6872"
"8530","1","admin","6873","APPEND","2024-11-04 14:10:15.977","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10950","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10951","NULL","223495788","23197","0","6873"
"8531","1","admin","6874","APPEND","2024-11-04 14:11:17.138","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10952","manifest-list-0b0b734f-00e3-4bac-aa33-0e14d621b351-10953","NULL","223513650","17862","0","6874"
